index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
575,3104776,2009,D12,Shooting,2009-04-21 12:00:00,110,Keelesdale-Eglinton West (110),-79.47238082,43.68399832,582,-79.47238082,43.68399832
576,3185090,2009,D12,Shooting,2009-04-22 12:00:00,111,Rockcliffe-Smythe (111),-79.49878472,43.68447757,583,-79.49878472,43.684477569999984
577,3103646,2009,D11,Shooting,2009-05-01 12:00:00,114,Lambton Baby Point (114),-79.50345064,43.6638912,584,-79.50345063999998,43.663891199999995
578,3201614,2009,D14,Stabbing,2009-05-05 12:00:00,84,Little Portugal (84),-79.43697295,43.6499839,585,-79.43697295,43.649983899999995
579,3059077,2009,D12,Shooting,2009-05-11 12:00:00,111,Rockcliffe-Smythe (111),-79.50042135,43.66800509,586,-79.50042135,43.668005089999994
580,3330600,2009,D55,Stabbing,2009-05-20 12:00:00,70,South Riverdale (70),-79.35088962,43.65863192,587,-79.35088962,43.65863191999999
581,3386271,2009,D23,Stabbing,2009-05-20 12:00:00,111,Rockcliffe-Smythe (111),-79.4824201,43.68373474,588,-79.48242010000001,43.68373474
582,3250588,2009,D12,Stabbing,2009-06-15 12:00:00,6,Kingsview Village-The Westway (6),-79.55211794,43.69579839,589,-79.55211794,43.69579839
583,3420102,2009,D32,Other,2009-06-17 12:00:00,31,Yorkdale-Glen Park (31),-79.46758942,43.71572986,590,-79.46758942,43.715729859999996
584,3155134,2009,D51,Stabbing,2009-06-21 12:00:00,70,South Riverdale (70),-79.35244174,43.64531212,591,-79.35244174,43.64531212
585,3155134,2009,D51,Stabbing,2009-06-21 12:00:00,70,South Riverdale (70),-79.35244174,43.64531212,592,-79.35244174,43.64531212
586,3041325,2009,D55,Other,2009-05-09 12:00:00,65,Greenwood-Coxwell (65),-79.32014233,43.66833167,593,-79.32014233,43.66833167
587,3440867,2009,D31,Other,2009-07-07 12:00:00,25,Glenfield-Jane Heights (25),-79.51070535,43.7348302,594,-79.51070534999998,43.73483019999999
588,3096999,2009,D41,Other,2009-07-11 12:00:00,126,Dorset Park (126),-79.28590936,43.77157355,595,-79.28590935999999,43.77157355
589,3501395,2009,D43,Shooting,2009-07-19 12:00:00,131,Rouge (131),-79.12805525,43.79381376,596,-79.12805524999999,43.793813760000006
590,3139087,2009,D42,Stabbing,2009-07-20 12:00:00,118,Tam O'Shanter-Sullivan (118),-79.29875075,43.78370141,597,-79.29875075000001,43.78370141
591,3523913,2009,D14,Shooting,2009-07-25 12:00:00,79,University (79),-79.40743417,43.66591416,598,-79.40743417,43.66591416
592,3505649,2009,D53,Shooting,2009-08-01 12:00:00,95,Annex (95),-79.39539614,43.67190098,599,-79.39539614,43.67190097999999
593,3523721,2009,D23,Shooting,2009-08-02 12:00:00,1,West Humber-Clairville (1),-79.60633187,43.75501571,600,-79.60633187,43.755015709999995
1119,GO-20172060242,2017,D12,Stabbing,2017-11-14 13:00:00,113,Weston (113),-79.51936568,43.70104075,601,-79.51936568,43.70104074999999
1120,GO-20173043943,2017,D42,Shooting,2017-11-21 13:00:00,131,Rouge (131),-79.20173504,43.81334035,602,-79.20173504,43.813340350000004
1121,GO-20173121720,2017,D43,Shooting,2017-12-04 13:00:00,139,Scarborough Village (139),-79.22319102,43.74046355,603,-79.22319102,43.740463549999994
1122,GO-20173095559,2017,D51,Other,2017-11-29 13:00:00,75,Church-Yonge Corridor (75),-79.38137353,43.66683138,604,-79.38137353,43.66683137999999
1123,GO-20173140530,2017,D43,Other,2017-12-06 13:00:00,133,Centennial Scarborough (133),-79.15050025,43.77645831,605,-79.15050025,43.776458309999995
1125,GO-20172057548,2017,D51,Shooting,2017-11-13 13:00:00,73,Moss Park (73),-79.36597615,43.65944077,606,-79.36597615,43.659440769999996
1126,GO-20173181653,2017,D42,Other,2017-12-12 13:00:00,132,Malvern (132),-79.21116678,43.81185502,607,-79.21116678,43.811855019999996
1127,GO-20173205177,2017,D51,Shooting,2017-12-16 13:00:00,77,Waterfront Communities-The Island (77),-79.37074933,43.64783612,608,-79.37074933,43.64783612
