index,occurrence_unique_id,occurrence_date,occurrence_year,occurrence_month,occurrence_dayofweek,occurrence_hour,time_range,division,death,injuries,hood_id,neighbourhood,longitude,latitude,object_id,x,y
204,GO-2005883036,2005-01-28 13:00:00,2005,January,Friday,21.0,Evening,D22,0,0,13,Etobicoke West Mall (13),-79.57217757,43.6523955,104,-79.57217757,43.65239549999999
205,GO-2005896053,2005-01-29 13:00:00,2005,January,Saturday,23.0,Evening,D33,0,2,52,Bayview Village (52),-79.36409555,43.77164393,105,-79.36409555,43.771643929999996
206,GO-2005919556,2005-01-30 13:00:00,2005,January,Sunday,0.0,Night,D12,0,0,30,Brookhaven-Amesbury (30),-79.50708172,43.69828823,106,-79.50708172,43.698288229999996
207,GO-20051064463,2005-02-01 13:00:00,2005,February,Tuesday,0.0,Night,D41,0,1,126,Dorset Park (126),-79.27941653,43.76129774,107,-79.27941652999999,43.761297739999996
208,GO-2005732268,2005-02-01 13:00:00,2005,February,Tuesday,22.0,Evening,D31,0,0,25,Glenfield-Jane Heights (25),-79.50926221,43.73831154,108,-79.50926221,43.738311539999984
209,GO-2005901779,2005-02-06 13:00:00,2005,February,Sunday,23.0,Evening,D43,0,0,139,Scarborough Village (139),-79.21887335,43.74318039,109,-79.21887334999998,43.74318039
210,GO-2005928264,2005-02-07 13:00:00,2005,February,Monday,21.0,Evening,D32,0,1,37,Willowdale West (37),-79.41553623,43.77976942,110,-79.41553623,43.77976941999999
211,GO-2005832576,2005-02-09 13:00:00,2005,February,Wednesday,20.0,Evening,D51,0,1,73,Moss Park (73),-79.37099208,43.65829436,111,-79.37099208000001,43.65829435999999
212,GO-2005951634,2005-02-11 13:00:00,2005,February,Friday,17.0,Afternoon,D33,1,0,76,Bay Street Corridor (76),-79.38581514,43.66081576,112,-79.38581514000002,43.66081575999999
213,GO-2005901792,2005-02-11 13:00:00,2005,February,Friday,0.0,Night,D42,0,1,136,West Hill (136),-79.1947012,43.76201197,113,-79.19470119999998,43.762011969999996
214,GO-2005787630,2005-02-12 13:00:00,2005,February,Saturday,23.0,Evening,D14,0,2,78,Kensington-Chinatown (78),-79.40648042,43.65672138,114,-79.40648042,43.65672138
215,GO-2005736672,2005-02-12 13:00:00,2005,February,Saturday,0.0,Night,D23,1,0,2,Mount Olive-Silverstone-Jamestown (2),-79.58705964,43.75362093,115,-79.58705964,43.75362093
216,GO-2005955160,2005-02-13 13:00:00,2005,February,Sunday,0.0,Night,D23,0,0,3,Thistletown-Beaumond Heights (3),-79.56135093,43.73535778,116,-79.56135093,43.735357779999994
217,GO-2005918414,2005-02-15 13:00:00,2005,February,Tuesday,23.0,Evening,D51,1,0,71,Cabbagetown-South St.James Town (71),-79.37373773,43.66729501,117,-79.37373773,43.66729501
218,GO-2005768554,2005-02-15 13:00:00,2005,February,Tuesday,5.0,Night,D41,1,0,NSA,NSA,0.0,0.0,118,0.0,0.0
219,GO-2005955718,2005-02-20 13:00:00,2005,February,Sunday,0.0,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38864414,43.64819947,119,-79.38864414,43.648199469999994
220,GO-2005943518,2005-02-21 13:00:00,2005,February,Monday,0.0,Night,D55,0,1,70,South Riverdale (70),-79.33921751,43.66541664,120,-79.33921751000001,43.66541664
