X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8827795.74186215,5419504.10690048,62,GO-2004417251,2004/05/01 04:00:00+00,2004,May,Saturday  ,21,Evening,D54,0,0,54,O'Connor-Parkview (54),-79.3014384,43.70240843,62
-8830835.09569289,5418508.37716613,63,GO-2004301868,2004/05/02 04:00:00+00,2004,May,Sunday    ,0,Night,D54,1,0,58,Old East York (58),-79.32874138,43.69594155,63
-8850905.78837588,5427807.4999533,64,GO-2004388577,2004/05/12 04:00:00+00,2004,May,Wednesday ,0,Night,D31,0,0,25,Glenfield-Jane Heights (25),-79.50903948,43.7563086,64
-8852036.67863007,5427277.92567212,65,GO-2004387646,2004/05/13 04:00:00+00,2004,May,Thursday  ,16,Afternoon,D31,0,0,25,Glenfield-Jane Heights (25),-79.51919844,43.7528724,65
-8838890.84085044,5411787.52045161,66,GO-2004354521,2004/05/13 04:00:00+00,2004,May,Thursday  ,22,Evening,D14,0,0,78,Kensington-Chinatown (78),-79.40110737,43.65227394,66
-8851983.63934549,5429788.97887656,67,GO-2004311851,2004/05/14 04:00:00+00,2004,May,Friday    ,16,Afternoon,D31,1,1,24,Black Creek (24),-79.51872198,43.76916389,67
-8851154.83345388,5418878.35275941,68,GO-2004591388,2004/05/14 04:00:00+00,2004,May,Friday    ,0,Night,D12,0,0,113,Weston (113),-79.51127669,43.69834448,68
-8851983.63934549,5429788.97887656,69,GO-2004392487,2004/05/14 04:00:00+00,2004,May,Friday    ,16,Afternoon,D31,0,1,24,Black Creek (24),-79.51872198,43.76916389,69
-8820390.63686439,5431695.8412412,70,GO-2004397105,2004/05/15 04:00:00+00,2004,May,Saturday  ,1,Night,D41,0,0,137,Woburn (137),-79.23491721,43.78153248,70
-8849078.22401288,5406051.67485072,71,GO-2004394774,2004/05/19 04:00:00+00,2004,May,Wednesday ,20,Evening,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.49262219,43.61498114,71
-8859391.82900634,5424101.96718434,72,GO-2004408691,2004/05/20 04:00:00+00,2004,May,Thursday  ,2,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.58527088,43.73226071,72
-8843186.04774296,5411463.58000199,73,GO-2004408131,2004/05/20 04:00:00+00,2004,May,Thursday  ,4,Night,D14,0,1,84,Little Portugal (84),-79.43969187,43.65016839,73
-8849417.53472638,5415469.70561851,74,GO-2004406517,2004/05/20 04:00:00+00,2004,May,Thursday  ,0,Night,D12,0,2,111,Rockcliffe-Smythe (111),-79.49567027,43.67620224,74
-8836246.14244444,5413130.13857174,75,GO-2004387719,2004/05/20 04:00:00+00,2004,May,Thursday  ,12,Afternoon,D51,0,0,75,Church-Yonge Corridor (75),-79.37734964,43.66099991,75
-8834644.45868659,5412989.66487623,76,GO-2004374867,2004/05/21 04:00:00+00,2004,May,Friday    ,19,Evening,D51,1,0,72,Regent Park (72),-79.36296147,43.660087,76
-8847609.16406997,5421400.30263754,77,GO-2004308782,2004/05/22 04:00:00+00,2004,May,Saturday  ,22,Evening,D31,1,0,29,Maple Leaf (29),-79.4794254,43.71472156,77
-8859650.31175077,5417817.31528458,78,GO-2004409444,2004/05/23 04:00:00+00,2004,May,Sunday    ,3,Night,D23,0,0,1,West Humber-Clairville (1),-79.58759287,43.69145296,78
-8859560.2809994,5417277.88574759,79,GO-2004414391,2004/05/24 04:00:00+00,2004,May,Monday    ,22,Evening,D23,0,0,1,West Humber-Clairville (1),-79.58678411,43.68794902,79
-8849610.97015275,5414809.34552454,80,GO-2004423639,2004/05/25 04:00:00+00,2004,May,Tuesday   ,17,Afternoon,D12,0,0,111,Rockcliffe-Smythe (111),-79.49740793,43.67191166,80
-8835112.28107304,5412209.2100667,81,GO-2004482932,2004/05/27 04:00:00+00,2004,May,Thursday  ,3,Night,D51,0,1,73,Moss Park (73),-79.36716399,43.65501473,81
-8860382.60364386,5425591.18720793,82,GO-2004421259,2004/05/28 04:00:00+00,2004,May,Friday    ,21,Evening,D23,0,0,1,West Humber-Clairville (1),-79.59417116,43.7419265,82
-8846600.25214782,5417782.34779722,83,GO-2004437150,2004/05/28 04:00:00+00,2004,May,Friday    ,15,Afternoon,D12,0,1,110,Keelesdale-Eglinton West (110),-79.47036219,43.69122583,83
0,0,84,GO-2004455760,2004/05/29 04:00:00+00,2004,May,Saturday  ,18,Evening,D51,0,1,NSA,NSA,0,0,84
-8857543.79076259,5411346.43006648,85,GO-2004413914,2004/05/30 04:00:00+00,2004,May,Sunday    ,16,Afternoon,D22,0,1,13,Etobicoke West Mall (13),-79.56866967,43.64940692,85
-8841894.53125591,5409281.10769624,86,GO-2004455137,2004/06/01 04:00:00+00,2004,June,Tuesday   ,2,Night,D14,1,0,85,South Parkdale (85),-79.42808998,43.63598082,86
0,0,87,GO-2004484856,2004/06/03 04:00:00+00,2004,June,Thursday  ,15,Afternoon,D14,0,1,NSA,NSA,0,0,87
-8849310.45650818,5415129.33395907,88,GO-20041053840,2004/06/03 04:00:00+00,2004,June,Thursday  ,20,Evening,D12,0,0,111,Rockcliffe-Smythe (111),-79.49470837,43.67399077,88
-8827558.39757583,5432013.76219878,89,GO-2004487997,2004/06/04 04:00:00+00,2004,June,Friday    ,21,Evening,D42,0,1,118,Tam O'Shanter-Sullivan (118),-79.2993063,43.78359438,89
-8818699.44110399,5427797.43279588,90,GO-2004457239,2004/06/04 04:00:00+00,2004,June,Friday    ,18,Evening,D43,0,0,137,Woburn (137),-79.21972494,43.75624328,90
-8860130.26684852,5426115.77837907,91,GO-2004510279,2004/06/08 04:00:00+00,2004,June,Tuesday   ,1,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.59190438,43.74533099,91
-8815752.76520212,5428870.76739189,92,GO-2004515049,2004/06/10 04:00:00+00,2004,June,Thursday  ,16,Afternoon,D43,0,1,136,West Hill (136),-79.1932545,43.76320713,92
-8838014.84885308,5411190.38989597,93,GO-2004525248,2004/06/11 04:00:00+00,2004,June,Friday    ,20,Evening,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,93
-8841353.42502229,5413362.49242435,94,GO-2004521591,2004/06/12 04:00:00+00,2004,June,Saturday  ,23,Evening,D14,0,1,80,Palmerston-Little Italy (80),-79.42322914,43.6625099,94
-8850757.51526693,5421809.66930981,95,GO-2004518544,2004/06/12 04:00:00+00,2004,June,Saturday  ,0,Night,D31,0,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,95
-8835538.42210255,5412713.82926057,96,GO-2004513214,2004/06/13 04:00:00+00,2004,June,Sunday    ,18,Evening,D51,0,1,73,Moss Park (73),-79.37099208,43.65829436,96
-8848633.45144019,5406046.91450416,97,GO-2004511158,2004/06/13 04:00:00+00,2004,June,Sunday    ,17,Afternoon,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.48862673,43.61495018,97
-8851943.85153309,5408743.83741896,98,GO-2004513218,2004/06/14 04:00:00+00,2004,June,Monday    ,17,Afternoon,D22,0,0,14,Islington-City Centre West (14),-79.51836456,43.63248768,98
-8848726.96871802,5409851.74989639,99,GO-2004650414,2004/06/15 04:00:00+00,2004,June,Tuesday   ,13,Afternoon,D22,0,0,16,Stonegate-Queensway (16),-79.48946681,43.63969071,99
-8820513.12058691,5433290.80816701,100,GO-2004505020,2004/06/17 04:00:00+00,2004,June,Thursday  ,1,Night,D42,0,0,132,Malvern (132),-79.2360175,43.79187604,100
-8817040.13615132,5429028.37838937,601,GO-20061711124,2006/09/07 04:00:00+00,2006,September,Thursday  ,0,Night,D43,0,1,137,Woburn (137),-79.20481915,43.76422965,101
-8843935.2713306,5414011.21652648,602,GO-20061795299,2006/09/08 04:00:00+00,2006,September,Friday    ,0,Night,D14,0,1,93,Dovercourt-Wallace Emerson-Junction (93),-79.44642226,43.66672554,102
